'42','18436016095525','Alubias Fabada Granja Nacional - Primera A - Saco 10kg.','Faba Granja Nacional(Granjilla) - Primera A- Saco 10kg.','10.00','0.00','0.00','0.00','0.00','12','0'
'43','8436016095525','Alubias Fabada Granja Nacional - Primera - Saco 15kg.','Faba Granja Nacional(Granjilla) - Primera - Saco 15kg.','15.00','0.00','0.00','0.00','0.00','12','0'
'44','18436016095549','Alubias Fabada Granja Nacional - Primera A- Saco 25kg.','Faba Granja Nacional(Granjilla) - Primera A - Saco 25kg.','25.00','0.00','0.00','0.00','0.00','12','0'
'45','8436016095549','Alubias Fabada Granja Nacional - Primera - Saco 50kg.','Faba Granja Nacional -(Granjilla) - Saco 50kg.','50.00','0.00','0.00','0.00','0.00','12','0'
'46','8436016095600','Alubias Fabada Granja Nacional - Primera - Saco 10kg.','Faba Granja Nacional - (Manchada) Primera - Saco 10kg.','10.00','0.00','0.00','0.00','0.00','12','0'
'47','8436016095617','Alubias Fabada Granja Nacional - Primera - Saco 15kg.','Faba Granja Nacional - (Manchada)primera - Saco 15kg.','15.00','0.00','0.00','0.00','0.00','12','0'
'48','8436016095624','Alubias Fabada Granja Nacional - Primera - Saco 25kg.','Faba Granja Nacional - (Manchada)primera - Saco 25kg.','25.00','0.00','0.00','0.00','0.00','12','0'
'49','8436016095631','Alubias Fabada Granja Nacional - Segunda - Saco 50kg.','Faba Granja Nacional - (Manchada)Segunda - Saco 50kg.','50.00','0.00','0.00','0.00','0.00','12','0'
'50','8436016095693','Faba Granja Nacional - Destrio - Saco 25kg.','Faba Granja Nacional - Destrio - Saco 25kg.','25.00','0.00','0.00','0.00','0.00','12','0'
'56','18436016095706','Alubias Fabada Verdina Asturiana - Extra - 10kg.','Faba Verdina Asturiana - Extra - Saco 10kg.','10.00','0.00','0.00','0.00','0.00','14','1'
'57','28436016095703','Alubias Fabada Verdina Asturiana - Extra -  15kg.','Faba Verdina Asturiana - Extra - Saco 15kg.','15.00','8.00','0.00','0.00','0.00','14','1'
'58','38436016095700','Alubias Fabada Verdina Asturiana - Extra -  25kg.','Faba Verdina Asturiana - Extra - Saco 25kg.','25.00','0.00','0.00','0.00','0.00','14','1'
'59','48436016095707','Alubias Fabada Verdina Asturiana - Extra -  50kg.','Faba Verdina Asturiana - Extra - Saco 50kg.','50.00','0.00','0.00','0.00','0.00','14','1'
'60','8436016095815','Alubias Fabada Verdina Asturiana - Primera A-  10kg.','Faba Verdina Asturiana -(Blanqueada-Siembra) - Saco 10kg.','10.00','0.00','0.00','0.00','0.00','14','0'
'61','8436016095808','Faba Verdina Asturiana - Primera - Saco 5kg.','Faba VerdinaAsturiana(Blanqueada-Siembra) - Saco 5kg.','5.00','0.00','0.00','0.00','0.00','14','0'
'62','8436016095822','Faba Verdina Asturiana - Primera - Saco 25kg.','Faba Verdina asturiana (Blanqueada-Siembra) - Saco 25kg.','25.00','0.00','0.00','0.00','0.00','14','1'
'63','8436016095709','Faba Verdina Asturiana- Extra - Saco 4  kg.','Faba Verdina Asturiana Extra - Saco 4 kg.','4.00','0.00','0.00','0.00','0.00','14','0'
'64','8436016097017','Faba Fresca - Extra - Bolsa plástica 2.5kg.','Faba Fresca - Extra - Bolsa plástica 2.5kg.','2.50','0.00','20.00','0.00','0.00','13','0'
'65','8436016097024','Faba Fresca - Extra - Bolsa plástica 0.5kg. (Muestra)','Faba Fresca - Extra - Bolsa plástica 0.5kg. (Muestra)','0.50','0.00','0.00','0.00','0.00','13','0'
'66','8436016097000','Faba Fresca - Extra - . Bolsa Plástica 1 kg','Faba Fresca - Extra - . Bolsa Plástica 1 kg','1.00','0.00','0.00','0.00','0.00','13','0'
'67','18436016097014','Agrupación Faba Fresca - Extra - Caja 10 kg. 2.5 x 4 uds.','Faba Fresca - Extra - "Tierrina Vaqueira" Caja Cartón 10 kg.','10.00','5.00','0.00','0.00','0.00','13','0'
'68','8436016097505','Faba Fresca en Vaina - Extra - Caja  plástica plegable 15kg.','Faba Fresca en Vaina - Extra - Caja  plástica plegable 15kg.','15.00','0.00','0.00','0.00','0.00','13','0'
'71','18436016090824','Agrupación Fabes D.O. "SABROSONA" 500 g.','Saco  10 uds x 500 g. Fabes Den.Origen. Marca "Sabrosona"','5.00','0.00','0.00','0.00','0.00','11','0'
'72','18436016090084','Agrupación  - Faba D.O. "TIERRINA VAQUEIRA"  1 Kg.','Caja Expositor  Faba Asturiana D.O. 12 Uds. x 1 Kg.','12.00','2.00','0.00','0.00','0.00','11','0'
'73','28436016090098','Agrupación  Faba D.O. "Tierrina Vaqueira" 24 uds x 500 g. ','Caja Expositor  Faba Asturiana Den.Origen 24 Uds. x 500 g.','12.00','60.00','0.00','0.00','0.00','11','0'
'74','0000000000074','Paquete Compango para Fabada Asturiana(1-1-1) Al vacio','Paquete Compango para Fabada Asturiana(1-1-1) Al vacio','0.25','0.00','0.00','0.00','0.00','8','0'
'75','8436016096003','Saco Faba Amarilla ( Roxa) Nacional-10 Kg','Saco 10 Kg. Faba Roxa Nacional','10.00','0.00','0.00','0.00','0.00','15','0'
'76','8436016096010','Saco Faba Amarilla(Roxa) Nacional 15 Kg ','Saco Faba Amarilla(Roxa) Nacional 15 Kg ','15.00','0.00','0.00','0.00','0.00','15','0'
'77','8436016096027','Saco Faba Amarilla(Roxa) Nacional 25 Kg ','Saco Faba Amarilla(Roxa) Nacional 25 Kg ','25.00','0.00','0.00','0.00','0.00','15','0'
'78','8436016096058','Saco Alubia Amarilla redonda León 10 Kg ','Saco Alubia Amarilla redonda León 10 Kg ','10.00','0.00','0.00','0.00','0.00','15','0'
'79','8436016096065','Saco Alubia Amarilla redonda León 15 Kg ','Saco Alubia Amarilla redonda León 15 Kg ','15.00','11.00','0.00','0.00','0.00','15','0'
'80','8436016096102','Saco Alubia Pinta redonda 15 Kg','Saco Alubia Pinta redonda 15 Kg','15.00','0.00','0.00','0.00','0.00','22','0'
'81','8436016096157','ALUBIA PINTA redonda saco 15 Kg  PV','ALUBIA PINTA redonda saco 15 Kg  PV','15.00','41.00','0.00','0.00','0.00','22','1'
'82','8436016096201','ALUBIA CANELA saco 15 Kg. PV','ALUBIA CANELA saco 15 Kg. PV','15.00','136.00','0.00','0.00','0.00','16','1'
'83','8436016096256','Saco Alubia Morada redonda  15 Kg ','Saco Alubia Morada redonda  15 Kg ','15.00','0.00','0.00','0.00','0.00','19','0'
'84','8436016096300','Saco Alubia Morada larga  15 Kg ','Saco Alubia Morada larga  15 Kg ','15.00','0.00','0.00','0.00','0.00','19','0'
'85','8436016096355','Saco Alubia Caparrón Larga  15 Kg.','Saco Alubia Caparrón Larga  15 Kg.','15.00','0.00','0.00','0.00','0.00','17','0'
'86','8436016096409','Saco Alubia Mandilín -(Caparron redonda)  15 Kg.','Saco Alubia Mandilín -(Caparron redonda)  15 Kg.','15.00','0.00','0.00','0.00','0.00','17','0'
'87','8436016096454','Saco Alubia Palmeña redonda 15 Kg.','Saco Alubia Palmeña redonda 15 Kg.','15.00','0.00','0.00','0.00','0.00','21','0'
'88','8436016096508','Saco Alubia Palmeña larga 15 Kg.','Saco Alubia Palmeña larga 15 Kg.','15.00','0.00','0.00','0.00','0.00','21','0'
'89','28436016096557','FRIJOL NEGRITO Saco 15 Kg.','FRIJOL NEGRITO Saco 15 Kg.','15.00','106.00','0.00','0.80','0.00','23','1'
'90','8436016096607','Saco Alubia Negra Tolosana 10 Kg.','Saco Alubia Negra Tolosana 10 Kg','10.00','13.00','0.00','0.00','0.00','20','0'
'91','8436016096652','Saco Soja Mungo 15 Kg','Saco Soja Mungo 15 Kg','15.00','11.00','0.00','0.00','0.00','24','0'
'92','8436016096751',' Alubia Riñón (canellini) saco 15 Kg. PV',' Alubia Riñón (canellini) saco 15 Kg. PV','15.00','133.00','0.00','0.00','0.00','28','1'
'93','8436016096850','Saco Judión Grande 15 Kg.','Saco Judión Grande 15 Kg.','15.00','0.00','0.00','0.00','0.00','29','0'
'94','8436016096881','Saco Judión Mediano 15 Kg.','Saco Judión Mediano 15 Kg.','15.00','0.00','0.00','0.00','0.00','29','0'
'95','8436016096904','Saco Alubia Planchada 15 Kg','Saco Alubia Planchada 15 Kg','15.00','0.00','0.00','0.00','0.00','25','0'
'96','8436016096935','Saco Alubia Plancheta 15 Kg.','Saco Alubia Plancheta 15 Kg.','15.00','0.00','0.00','0.00','0.00','26','0'
