'A20120713-44','17','02195004','2'
'A20120713-44','17','02195003','28'
'A20120713-44','109','02196001','4'
'A20120713-44','38','02195006','1'
'A20120713-44','56','02185004','10'
'A20120718-45','13','02156002','2'
'A20120718-45','13','02192001','16'
'A20120718-45','25','02178002','9'
'A20120718-45','24','02157005','5'
'A20120718-45','138','02159001','40'
'A20120718-45','139','02165001','2'
'A20120718-45','136','E12074-119','6'
'A20120718-45','98','02158007','2'
'A20120718-45','82','E120528-35','1'
'A20120718-45','89','02174003','2'
'A20120718-45','21','02192005','1'
'A20120718-45','113','02200002','1'
'A20120723-46','24','02157005','6'
'A20120723-46','25','02187003','8'
'A20120723-46','21','02205002','3'
'A20120723-46','13','02192001','16'
'A20120723-46','140','02205001','5'
'A20120725-47','38','02206002','2'
'A20120725-47','58','02206003','1'
'A20120725-47','126','02206004','5'
'A20120727-48','13','02180004','15'
'A20120727-48','13','02192001','2'
'A20120727-48','25','02195005','4'
'A20120727-48','25','02200001','4'
'A20120727-48','81','E120528-38','1'
'A20120727-49','21','02192005','8'
'A20120727-49','56','02206001','4'
'A20120727-49','143','02209003','20'
'A20120727-49','138','02174005','40'
'A20120727-49','3','02153001','80'
'A20120727-49','3','02209002','20'
'A20120727-49','136','E12074-119','33'
'A20120727-49','72','02153004','1'
'A20120727-49','109','02209004','10'
'A20120730-50','16','02158001','46'
'A20120730-50','16','02212001','9'
'A20120730-50','16','02157006','27'
'A20120730-50','17','02158003','6'
'A20120730-50','98','02158007','25'
'A20120730-50','89','02174003','25'
'A20120730-51','12','02173009','3'
'A20120730-51','100','E120611-108','1'
'A20120730-51','82','E120528-35','1'
'A20120730-51','79','E120528-37','1'
'A20120730-52','139','02165001','2'
'A20120730-52','72','02177001','1'
'A20120730-53','56','02212003','2'
'A20120730-53','139','02165001','1'
'A20120817-54','56','02226005','2'
'A20120817-54','140','02227001','20'
'A20120817-54','57','02226006','1'
'A20120817-54','89','02174003','1'
'A20120817-54','82','E120528-35','2'
'A20120817-54','100','E120611-108','2'
'A20120817-54','98','02158007','3'
'A20120817-54','156','02214003','134'
'A20120817-54','25','02200003','4'
'A20120817-54','113','02216001','1'
'A20120817-54','21','02209001','6'
'A20120817-54','21','02205002','5'
'A20120820-55','12','02173009','4'
'A20120820-55','82','E120528-35','1'
'A20120820-55','91','02151004','2'
'A20120820-56','13','02192002','6'
'A20120820-56','21','02160001','4'
'A20120820-56','146','02233001','6'
'A20120820-57','8','02230004','2'
'A20120820-57','58','02214005','1'
'A20120820-57','57','02226006','1'
'A20120820-57','56','02226005','2'
'A20120820-57','176','02226004','4'
'A20120820-57','113','02233002','1'
'A20120821-58','31','02234001','1'
'A20120821-58','13','02192002','1'
'A20120821-59','175','02234002','1'
'A20120821-59','100','E120611-108','1'
'A20120829-60','13','02192002','28'
'A20120829-60','21','02209001','4'
'A20120829-60','176','02241002','8'
'A20120829-60','175','02241003','1'
'A20120829-60','138','02174005','80'
'A20120829-60','89','02174003','1'
'A20120829-60','136','E12074-119','2'
'A20120829-60','81','E120528-38','1'
'A20120829-60','72','02174002','1'
'A20120829-60','113','02241007','1'
'A20120829-60','91','02151004','1'
'A20120829-60','143','02241005','6'
'A20120829-60','143','02241004','3'
'A20120829-60','8','02241006','2'
'A20120831-61','132','02244002','10'
'A20120831-62','25','02200001','10'
'A20120831-62','21','02209001','4'
'A20120831-62','13','02156002','4'
'A20120831-62','13','02150002','6'
'A20120831-62','13','02192002','1'
'A20120831-62','136','E12074-119','32'
'A20120831-62','98','02158007','7'
'A20120831-62','57','02244003','2'
'A20120831-62','109','02244004','4'
'A20120831-62','139','02165001','2'
'A20120831-62','100','E120611-108','3'
'A20120831-62','82','E120528-35','2'
'A20120831-62','92','E120529-91','1'
'A20120831-62','89','02174003','2'
'A20120831-62','103','E120530-94','80'
'A20120831-63','13','02180004','14'
'A20120831-64','25','02192006','20'
'A20120831-65','171','02230003','1'
'A20120831-66','56','02206001','1'
'A20120903-67','7','02247001','1'
'A20120903-68','3','02209002','5'
'A20120903-68','3','02237001','20'
'A20120903-68','3','02237002','60'
'A20120903-68','3','02247003','15'
'A20120906-69','100','E120611-108','1'
'A20120906-69','12','02173009','4'
'A20120906-69','82','E120528-35','1'
'A20120906-69','92','E120529-91','1'
'A20120906-69','72','02174002','1'
'A20120906-69','91','02151004','1'
'A20120906-69','57','02244003','1'
'A20120906-69','79','E120528-37','1'
'A20120906-69','183','02250001','1'
'A20120911-70','157','02255001','1'
'A20120911-70','173','02255002','1'
'A20120917-71','176','02226004','2'
'A20120917-71','98','02158007','3'
'A20120917-71','81','E120528-38','2'
'A20120917-71','89','02174003','1'
'A20120917-71','92','02158005','2'
'A20120917-71','103','E120530-94','3'
'A20120917-71','8','02261001','2'
'A20120917-71','13','02177002','32'
'A20120917-71','163','02215001','14'
