'1132','BANCO MEXICANO SA'
'1133','COMPAGNIE INTERNATIONALE DE BANQUE'
'1134','BANCO GANADERO'
'1135','BANQUE MAROCAINE DU COMMERCE EXTERIEUR'
'1136','SINGER & FRIEDLANDER LIMITED'
'1137','BANQUE CENTRALE POPULAIRE'
'1138','NATEXIS BANQUES POPULAIRES'
'1139','BANCA POPOLARE DI NOVARA'
'1140','SUMITOMO BANK LIMITED'
'1141','LJUBLJANSKA BANKA'
'1142','CREDIT COMMERCIAL DE FRANCE'
'1143','DAI-ICHI KANGYO BANK LIMITED'
'1144','FORTIS BANK SA'
'1145','BANCOMER SA'
'1146','BANCA SOMEX SA'
'1147','DEN DANSKE BANK AKTIESELSKAB SA'
'1148','THE MITSUBISHI BANK LIMITED'
'1149','ROYAL BANK OF CANADA'
'1150','KBC BANK'
'1151','CAISSE NATIONALE DE CREDIT AGRICOLE'
'1152','THE FUJI BANK LIMITED'
'1153','THE SANWA BANK LIMITED'
'1154','BHF-BANK'
'1155','KREDIETBANK SA LUXEMBOURGEOISE'
'1156','THE BANK OF NEW YORK MELLON'
'1157','INDUSTRIAL BANK OF JAPAN LIMITED'
'1158','UNIBANK A/S'
'1159','BERENBERG B'
'1160','KOREA EXCHANGE BANK'
'1161','CREDIT AND COMMERCE ISA- LTD'
'1162','THE BANK OF NOVA SCOTIA'
'1163','TAIYO KOBE BANK LTD'
'1164','ESPIRITO SANTO BANK OF FLORIDA'
'1165','ROTHSCHILD NM & SONS LIMITED'
'1166','MITSUI BANK LIMITED'
'1167','BANQUE WORMS'
'1168','BANCO NACIONAL DE CUBA'
'1169','THE TOKAI BANK LTD'
'1170','STANDARD CHARTERED BANK'
'1171','CAISSE CENTRALE BANQUES POPULAIRES - BARCELONA'
'1172','FIRST NATIONAL BANK OF MINNEAPOLIS'
'1173','BANQUE COURTOIS'
'1174','JYSKE BANK'
'1176','AUSTRALIA AND NEW ZEALAND BGL ANZ GRINDLAYS BANK PLC'
'1177','CREDIT INDUSTRIEL ET COMMERCIAL'
'1178','SOCIETE LYONNAISE DE BANQUE'
'1179','CASSA DI RISPARMIO DELLE PROVINCIE LOMBARDE'
'1180','BANCO ESPIRITO SANTO E COMERCIAL DE LISBOA'
